manufacturer,model,price,car_details_url,fuel_type,vehicle_chasis
Renault,Austral Hybrid,"€ 584,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/renault/austral-hybrid,Hybride benzine,SUV
Peugeot,408,"€ 584,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/408,Benzine,Hatchback
Peugeot,e-308 SW Elektrisch,"€ 584,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/e-308-sw-ev,Elektriciteit,Stationwagen
Tesla,Model 3 Elektrisch,"€ 589,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/tesla/model-3-ev,Elektriciteit,sedan
Peugeot,308 PHEV,"€ 589,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308-phev,Elektriciteit / benzine,Hatchback
Peugeot,308 SW PHEV,"€ 594,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/308-sw-phev,Elektriciteit / benzine,Stationwagen
Peugeot,508 SW,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=R998KJ&condition=occasion,Benzine,Stationwagen
Toyota,Prius PHEV,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/prius-phev,Elektriciteit /  benzine,Hatchback
BMW,X1,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=XV381T&condition=occasion,Benzine,SUV
Peugeot,e-3008 Elektrisch,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/e-3008-ev,Elektriciteit,SUV
DS,4 PHEV,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ds/4-phev,Elektriciteit / benzine,Hatchback
Skoda,Enyaq Elektrisch,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/enyaq-ev,Elektriciteit,SUV
Volkswagen,ID.3 Elektrisch,"€ 599,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volkswagen/id.3-ev,Elektriciteit,Hatchback
